Everybody gets champagne and some people dont drink it so whats left the kids drink so we were going around drinking all this champagne,လူတိုင်းကရှန်ပိန်တွေရပြီးတချို့လူတွေကမသောက်ကြဘူးဆိုတော့ကျန်တာတွေကိုကလေးတွေကသောက်ကြတာဆိုတော့ဒီရှန်ပိန်တွေကိုငါတို့အကုန်သောက်ခဲ့တယ်။
I mean that was the whole point,ငါဆိုလိုတာကဒါကအဓိကဘဲလေ။
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married,သူကတော့ဂရိကလာတာဖြစ်ပြီးဂရိကဆိုတဲ့ရွာငယ်လေးကပါဒီနောက်သူအမေရိကားကိုလာခဲ့တာအဲဒါ၁၉၆၉သို့မဟုတ်၁၉၇၀ကလို့ငါထင်တယ်ဒီနောက်မကြာခင်မှာပဲသူအိပ်ထောင်ပြုခဲ့တယ်။
We were watching something on TV,ကျွန်တော်တို့တီဗီမှာတခုခုကြည့်နေခဲ့သည်။
Um and she said she said she said Baby she said You dont understand about life the way I understand about life,သူပြောတယ်၊သူပြောတယ်၊သူပြောတယ်၊ကလေးရယ်တဲ့၊သူပြောတယ်၊ဘဝအကြောင်းကိုငါနားလည်သလိုမင်းနားမလည်ဘူး။
So I went to I went to Washington DC and I didnt go directly to uh that uh they had told me to on my orders,သူကတော့အသားနဲနဲဖြူတဲ့လူမဲတစ်ယောက်ပါ။
Um and so they just left town and she she never did see her sister again never saw her sister again,ဒီတော့သူတို့မြို့ကနေပြောင်းခဲ့ကြပြီး၊သူသူ့ရဲ့ညီမကိုဘယ်တော့မှပြန်မတွေ့ခဲ့ဘူ။သူ့ညီမကိုဘယ်တော့မှပြန်မတွေ့ခဲ့ဘူး။
Everybody gets champagne and some people dont drink it so whats left the kids drink so we were going around drinking all this champagne,လူတိုင်းကရှန်ပိန်တွေရပြီးတချို့လူတွေကမသောက်ကြဘူးဆိုတော့ကျန်တာတွေကိုကလေးတွေကသောက်ကြတာဆိုတော့ဒီရှန်ပိန်တွေကိုငါတို့အကုန်သောက်ခဲ့တယ်။
There are many stories in the naked city,ကိုယ်လုံးတီးမြို့ကြီးထဲမှာဇာတ်လမ်းတွေအများကြီးပါ။
You live and learn you know when you test uh aircraft,လေယာဥ်ကိုစမ်းရင်းအသက်ရှင်ရင်းသင်ယူရင်းသိတယ်မလား။
I mean that was the whole point,ငါဆိုလိုတာကဒါကအဓိကဘဲလေ။
It was from a airbase that flew over Cuba and of course Rudolph Anderson was shot down,နိုင်ငံကိုဖြတ်ကျော်ပျံသန်းတဲ့လေတပ်စခန်းကနေပြီးတော့ဟာပစ်ချခံခဲ့ရပါတယ်။
He didnt say a time again so he just got me over there stressing out and I really dont even know when its needed,သူကဘယ်အချိန်လဲဆိုတာမပြောခဲ့ပြန်ဘူး၊ဒီတော့ငါ့လဲအဲဒီမှာစိတ်ပူနေရပြီးဒါကဘယ်အချိန်မှာလိုမှာလဲဆိုတာမသိတော့ဘူး။
It was probably the first thing I remember from being a little kid about ah especially about something that Id done wrong,ဒါကတော့ငါမှတ်မိတဲ့ကလေးဘဝတုန်းကအစောဆုံးအဖြစ်အပျက်ဖြစ်ကောင်းဖြစ်နိုင်တယ်၊အထူးသဖြင့်ငါမှားလုပ်ခဲ့မိတဲ့အရာတစ်ခုအကြောင်းပေါ့။
They just didnt like what it was like being black in those days and that was you know I guess that that was probably you know in the early 1930s uh when they did that,အဲဒီခေတ်တုန်းကလူမဲအဖြစ်နေရဖို့ကိုသူတို့မကြိုက်ကြဘူးဒါကြောင့်လဲမင်းသိတဲ့အတိုင်းပဲ၊ငါထင်တာကတော့သူတို၁၉၃၀စောစောပိုင်းလောက်မှာအဲလိုလုပ်ခဲ့ကြတာဖြစ်ကောင်းဖြစ်နိုင်တယ်။
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married,သူကတော့ဂရိကလာတာဖြစ်ပြီးဂရိကဆိုတဲ့ရွာငယ်လေးကပါဒီနောက်သူအမေရိကားကိုလာခဲ့တာအဲဒါ၁၉၆၉သို့မဟုတ်၁၉၇၀ကလို့ငါထင်တယ်ဒီနောက်မကြာခင်မှာပဲသူအိပ်ထောင်ပြုခဲ့တယ်။
So anyhow I call Ramona back because I had a question about I was like All right let me hurry up on with it and I had a question about something I was doing,ဒီတော့ထားပါတော့ငါကိုပြန်ခေါ်လိုက်တယ်ဘာလို့လဲဆိုတော့ငါမေးချင်တာတစ်ခုရှိလို့၊ဟုတ်ပြီအဲ့ဒါကိုခပ်မြန်မြန်လုပ်ရအောင်၊ငါလုပ်နေတဲ့တစ်ခုခုနဲ့ပတ်သတ်ပြီးမေးချင်တာရှိလို့။
Nobody knew where they went,သူတို့ဘယ်ထွက်သွားလဲဆိုတာဘယ်သူမှမသိကြဘူး။
And they couldnt stay in the Augusta area because people knew that they had tried to do something that was really taboo and try to pass for white,တကယ်ကိုတားမြစ်ပိတ်ပင်ထားတဲ့တစ်ခုခုကိုလုပ်ဖို့ကြိုးစားပြီးလူဖြူဖြစ်ဖို့ကြိုးစားခဲ့တာကိုလူတွေသိနေကြလို့သူတို့မှာနေလို့မရဘူး။
Yeah well the guys here,ဟုတ်တယ်၊အေး၊ဒီလူရောက်နေပြီ။
We were watching something on TV,ကျွန်တော်တို့တီဗီမှာတခုခုကြည့်နေခဲ့သည်။
So anyhow I think I spoke to Ramona again,ဒီတော့ထားပါတော့ငါနဲ့စကားထပ်ပြောဖြစ်တယ်ထင်တယ်။
Little things like that made a big difference in what I was trying to do,ဒီလိုအသေးအမွှားလေးတွေကငါလုပ်နေတာတွေပေါ်အကြီးအကျယ်ပြောင်းလဲစေခဲ့တယ်။
Well theres nobody there to help me,အိမ်း၊အဲဒီမှာငါ့ကိုကူညီမယ့်သူတစ်ယောက်မှမရှိဘူး။
He was the only casualty of the Cuban Crisis and uh Kaiser uh he got the pictures and flew straight to Andrews Air Force in Washington,သူကတော့ကျူးဘားအရေးအခင်းကတစ်ယောက်ထဲသောထိခိုက်မှုပါ၊ပြီးတော့ကတော့ဒီဓာတ်ပုံတွေကိုရသွားပြီးကလေတပ်ကိုတန်းပျံသွားခဲ့တာပါ။
Um and she said she said she said Baby she said You dont understand about life the way I understand about life,သူပြောတယ်၊သူပြောတယ်၊သူပြောတယ်၊ကလေးရယ်တဲ့၊သူပြောတယ်၊ဘဝအကြောင်းကိုငါနားလည်သလိုမင်းနားမလည်ဘူး။
Then I get it and Im like great What do I do with it,ဒီတော့ငါနားလည်သွားပြီးပြောလိုက်တယ်၊ကောင်းပြီ၊ငါဒါနဲ့ဘာလုပ်ရမလဲ။
The CIA unloaded the the film taken them to the United Nations the next day,စီအိုင်အေကဒီရုပ်ရှင်ကိုဖြုတ်ချပြီးနောက်တနေ့မှာကုလသမဂ္ဂဆီကိုယူသွားလိုက်တယ်။
I already told him I tried to explain to him that I was frustrated I didnt have all the information I needed,သူ့ကိုငါပြောပြီးပြီ၊ငါလိုအပ်တဲ့အချက်အလက်တွေအကုန်လုံးမရှိလို့ငါစိတ်ရှုပ်ရတယ်ဆိုတာငါသူ့ကိုရှင်းပြခဲ့တယ်။
Just give me a minute if you want to cut it off Id uh go,မင်းဒါကိုရပ်လိုက်ချင်ပြီးဆိုရင်ငါ့ကိုတစ်မိနစ်လောက်အချိန်ပေးပါ၊ငါသွားပါ့မယ်။
So I went to I went to Washington DC and I didnt go directly to uh that uh they had told me to on my orders,ဒီတော့ငါဝါရှင်တန်ဒီစီကိုသွားခဲ့တယ်၊ပြီးတော့ငါ့ရဲအမိန့်ထဲမှာသူတို့ပြောထားတဲ့ထိုနေရာကိုငါတိုက်ရိုက်မသွားခဲ့ဘူး။
Thats why I didnt graduate college but I never I never read any of the books I was supposed to,ဒါကြောင့်လဲငါကောလိပ်ကျောင်းကဘွဲ့မရတာ၊ဒါပေမယ့်ငါဘယ်တော့၊ဘယ်တော့မှဖတ်ရမယ့်စာအုပ်တွေကိုမဖတ်ခဲ့ဘူး။
She was a lightskinned black person,သူကတော့အသားနဲနဲဖြူတဲ့လူမဲတစ်ယောက်ပါ။
So anyway Dad goes and makes this nice big glass of chocolate milk for me,ထားပါတော့၊အဖေကသွားပြီးငါအတွက်ချောကလက်နို့ခွက်ကြီးကြီးတစ်ခွက်လုပ်လိုက်တယ်။
The DOT had to buy the property and stuff,ကပိုင်ဆိုင်မှုနှင့်ပစ္စည်းများကိုဝယ်ယူရမည်ဖြစ်သည်။
